id,tool_name,source_path,domain,subdomain,description,deps_pypi,imports_unknown,tags,content_hash
VIZ.PLOTS.006_holoviews_demo,sm0l_holoviews_demo,holoviews_demo.py,VIZ,PLOTS,Run holoviews_demo.py,holoviews,__future__,__future__ holoviews,c6ceb8167226
MISC.MISC.053_html_builder,sm0l_html_builder,html-builder.py,MISC,MISC,Run html-builder.py,,html_fetcher html_template,datetime html_fetcher html_template,2a79cb4fdcf2
WEB.SCRAPE.003_html_fetcher,sm0l_html_fetcher,html-fetcher.py,WEB,SCRAPE,Run html-fetcher.py,beautifulsoup4 requests,,bs4 requests urllib,b7e3c06453d7
MISC.MISC.054_html_template,sm0l_html_template,html-template.py,MISC,MISC,Run html-template.py,,,,a8e860e23695
WEB.HTTP.004_httpx_demo,sm0l_httpx_demo,httpx_demo.py,WEB,HTTP,Run httpx_demo.py,httpx,__future__,__future__ httpx,e36d55190135
AUTO.WORKFLOW.003_huey_memory_demo,sm0l_huey_memory_demo,huey_memory_demo.py,AUTO,WORKFLOW,huey MemoryHuey task demo,,huey,huey,791e72d09056
MISC.MISC.055_humanize_demo,sm0l_humanize_demo,humanize_demo.py,MISC,MISC,Run humanize_demo.py,,__future__ humanize,__future__ datetime humanize,2dbfc71278ff
MISC.MISC.056_icecream_demo,sm0l_icecream_demo,icecream_demo.py,MISC,MISC,Run icecream_demo.py,,__future__ icecream,__future__ icecream,6eb768d0be81
MISC.MISC.057_icecream_example,sm0l_icecream_example,icecream_example.py,MISC,MISC,!/usr/bin/env python3,,icecream,icecream,6cfc648fe1e4
WEB.HTTP.005_image_downloader,sm0l_image_downloader,image_downloader.py,WEB,HTTP,!/usr/bin/env python3,requests,,argparse pathlib requests,a120d2e2b20d
MISC.MISC.058_imbox_demo,sm0l_imbox_demo,imbox_demo.py,MISC,MISC,"imbox minimal login skeleton. Set IMAP_HOST, IMAP_USER, IMAP_PASS env vars to actually connect.",imbox,,imbox,04d827344473
MISC.MISC.059_incremental_backup,sm0l_incremental_backup,incremental_backup.py,MISC,MISC,!/usr/bin/env python3,,shutil,argparse datetime hashlib pathlib shutil,a7eca93395d8
WEB.HTTP.006_install_arch_wsl,sm0l_install_arch_wsl,install-arch-wsl.py,WEB,HTTP,Run install-arch-wsl.py,requests,,pathlib requests subprocess,7ad0fbcadb22
WEB.HTTP.007_install_nerdfont,sm0l_install_nerdfont,install-nerdfont.py,WEB,HTTP,Run install-nerdfont.py,requests,,pathlib requests subprocess,7ad0fbcadb22
MISC.MISC.060_lightningchart_demo,sm0l_lightningchart_demo,lightningchart_demo.py,MISC,MISC,Run lightningchart_demo.py,,__future__ lightningchart,__future__ chart lightningchart,708464b7f315
MISC.MISC.061_logfire_demo,sm0l_logfire_demo,logfire_demo.py,MISC,MISC,logfire minimal setup demo,,logfire,logfire,d1bbb81cd618
MISC.MISC.062_logging_demo,sm0l_logging_demo,logging_demo.py,MISC,MISC,Run logging_demo.py,,__future__,__future__ logging,981efabf58f3
MISC.MISC.063_loguru_demo,sm0l_loguru_demo,loguru_demo.py,MISC,MISC,Run loguru_demo.py,loguru,__future__,__future__ loguru,0be654ef0d70
WEB.SCRAPE.004_mechanicalsoup_demo,sm0l_mechanicalsoup_demo,mechanicalsoup_demo.py,WEB,SCRAPE,MechanicalSoup basic fetch demo,,mechanicalsoup,mechanicalsoup,4f65b7baa7b9
MISC.MISC.064_openai_demo,sm0l_openai_demo,openai_demo.py,MISC,MISC,Run openai_demo.py,openai,__future__,__future__ openai,cfc430b33891
DOC.OFFICE.001_openpyxl_demo,sm0l_openpyxl_demo,openpyxl_demo.py,DOC,OFFICE,openpyxl create workbook demo,openpyxl,,openpyxl pathlib tempfile,912b7ca4bf32
MISC.MISC.065_optimize_ssd_2,sm0l_optimize_ssd_2,optimize-ssd (2).py,MISC,MISC,Run optimize-ssd (2).py,,,subprocess,b057fa29538a
MISC.MISC.066_optimize_ssd,sm0l_optimize_ssd,optimize-ssd.py,MISC,MISC,Run optimize-ssd.py,,,subprocess,d8b8cb89bbad
MISC.MISC.067_orjson_demo,sm0l_orjson_demo,orjson_demo.py,MISC,MISC,Run orjson_demo.py,orjson,__future__,__future__ orjson,13d639f3ebce
WEB.HTTP.008_page_monitor,sm0l_page_monitor,page_monitor.py,WEB,HTTP,!/usr/bin/env python3,requests,,argparse hashlib pathlib requests,5e5bf96c5a5c
DATA.DF.003_pandas_demo,sm0l_pandas_demo,pandas_demo.py,DATA,DF,Run pandas_demo.py,pandas,__future__,__future__ pandas,193cb8449814
MISC.MISC.068_pattern_command_registry,sm0l_pattern_command_registry,pattern_command_registry.py,MISC,MISC,Command registry pattern (stdlib-only).,,,,442b8257385d
MISC.MISC.069_pattern_config_injection,sm0l_pattern_config_injection,pattern_config_injection.py,MISC,MISC,Configuration injection pattern (stdlib-only).,,,,9096be370a41
MISC.MISC.070_pattern_guardian,sm0l_pattern_guardian,pattern_guardian.py,MISC,MISC,Guardian pattern: runtime interface guard (stdlib-only).,,,,0c047d43b6e4
MISC.MISC.071_pattern_plugin_hooks,sm0l_pattern_plugin_hooks,pattern_plugin_hooks.py,MISC,MISC,Dynamic plugin hooks pattern (stdlib-only).,,,,e6ac28ee8e47
MISC.MISC.072_pattern_transaction_wrapper,sm0l_pattern_transaction_wrapper,pattern_transaction_wrapper.py,MISC,MISC,Transaction wrapper pattern (stdlib-only).,,,contextlib,45723703fbf8
